Transaction_ID,Interaction_Speed,Input_Hesitation,Repeated_Attempts,Device_Type,IP_Location,Typing_Patterns,User_History,Session_Length,Geographical_Anomaly,Browser_Change,Uncommon_Service,Fraud
1,3.31483699,1,0,2,1,1,3,280,0,1,1,0
2,2.383041531,1,0,3,5,1,1,330,1,1,0,0
3,3.163407384,1,1,4,1,0,2,300,0,1,0,0
4,2.667297887,1,1,3,1,0,2,220,1,0,1,0
5,2.018375272,0,1,2,2,0,2,230,1,0,1,0
6,2.937828167,1,0,2,7,0,2,210,1,1,0,0
7,1.681056117,1,0,4,6,0,2,260,1,1,1,0
8,2.486114345,1,1,4,8,0,2,160,0,0,1,0
9,3.007179266,1,0,3,7,0,2,360,0,1,1,0
10,2.836254056,1,0,2,7,0,2,170,1,1,0,0
11,2.704613043,1,0,3,4,0,2,380,1,1,1,0
12,3.259021592,1,1,2,8,0,2,350,1,0,1,0
13,1.893717455,1,0,2,7,0,3,340,1,1,0,0
14,2.436004119,0,0,1,2,1,3,250,1,1,1,0
15,3.168027427,1,0,4,8,0,2,140,0,0,0,0
16,2.802483627,1,2,3,3,0,3,260,1,1,1,0
17,2.969706893,1,1,4,4,0,3,120,1,1,1,0
18,2.351319668,1,0,1,1,1,2,230,1,0,1,0
19,2.876723574,1,2,1,7,0,2,230,0,0,1,0
20,1.576371252,1,1,1,5,1,2,360,0,1,1,0
21,3.129678667,1,1,3,5,0,3,220,0,1,1,0
22,2.478663737,1,0,1,5,1,2,320,1,0,0,0
23,3.173975594,1,0,1,5,0,1,230,1,0,0,0
24,3.371911341,1,0,1,5,0,2,210,1,1,1,0
25,3.402007626,1,2,2,5,0,2,250,1,1,0,0
26,3.039131064,1,0,2,7,1,3,330,0,0,1,0
27,3.150156825,1,1,1,1,0,1,410,1,1,1,0
28,3.22750862,0,1,1,8,0,2,290,1,1,1,0
29,2.267099653,1,1,1,3,0,2,280,1,1,1,0
30,3.25960918,1,0,2,7,1,2,260,0,1,1,0
31,3.398455427,1,0,1,1,1,2,130,1,1,0,0
